child,sentenceid,verb,matrix,subj,obj,prep1,pobj1,prep2,pobj2,prep3,pobj3,comp,embtense,embsubj,embpred,sent,context
andy,77,do,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you do-PAST,dinner
andy,78,talk,True,True,False,to,you,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,do-PAST he talk to you,dinner
andy,79,say,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,what~genmod he say,dinner
andy,80,do,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,he do-PAST,dinner
andy,81,tell,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,what~genmod he tell you,dinner
andy,84,have,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,he must have have-PAST a lot,dinner
andy,85,tell,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,where,TENSED,True,be,do-PAST he tell you where he~genmod be-PASTP,dinner
andy,86,tell,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,where,TENSED,True,be,do-PAST he tell you where he have-PAST be-PASTP,dinner
andy,91,stay,False,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,and the plant stay-3S the same size grow-PRESP,dinner
andy,95,take,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,I take-PAST a few off the other day,dinner
andy,97,shrivel,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,no they be-PAST all shrivel-PAST up,dinner
andy,98,keep,False,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,okay the next one you can keep,dinner
andy,101,sit,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,well sit here and talk to us then,dinner
andy,106,come,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,come on,dinner
andy,109,want,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,hey Andy you want some water for dessert,dinner
andy,111,work,False,True,False,as,do,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,he be-PAST tell-PRESP Janet how it do-3S~not work as_well as it do-PAST,dinner
andy,111,do,False,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,he be-PAST tell-PRESP Janet how it do-3S~not work as_well as it do-PAST,dinner
andy,114,say,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,False,go,well you say-PAST it do-PAST~not go as fast as it do-PAST right,dinner
andy,114,go,False,False,False,as,do,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,well you say-PAST it do-PAST~not go as fast as it do-PAST right,dinner
andy,114,do,False,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,well you say-PAST it do-PAST~not go as fast as it do-PAST right,dinner
andy,115,go,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,okay go back and finish up some more food,dinner
andy,115,finish,False,False,False,up,food,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,okay go back and finish up some more food,dinner
andy,116,want,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,then what do you want some water,dinner
andy,118,let,True,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,see,now let-ZERO me see,dinner
andy,118,see,False,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,now let-ZERO me see,dinner
andy,121,get,False,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,everything get-3S catch-PAST when you go over it,dinner
andy,121,catch,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,everything get-3S catch-PAST when you go over it,dinner
andy,121,go,False,True,False,over,it,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,everything get-3S catch-PAST when you go over it,dinner
andy,122,want,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,want some more,dinner
andy,125,do,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,do-PAST Karen read-ZERO you any story-PL today,dinner
andy,125,read,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,True,NONE,do-PAST Karen read-ZERO you any story-PL today,dinner
andy,127,work,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,it do-3S~not work that well,dinner
andy,149,have,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,True,NONE,have any problem-PL be-3S that it,dinner
andy,151,enjoy,True,True,True,at,least,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,at least we will-COND enjoy it more,dinner
andy,159,plant,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you plant-PAST it,dinner
andy,161,plant,False,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,it~be get-PASTP so big since you plant-PAST it,dinner
andy,164,want,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,False,pick,do you want~to pick up that marble so you will~not keep trip-PRESP on it,dinner
andy,164,pick,False,False,False,up,marble,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,do you want~to pick up that marble so you will~not keep trip-PRESP on it,dinner
andy,164,keep,False,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,do you want~to pick up that marble so you will~not keep trip-PRESP on it,dinner
andy,165,want,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,okay you want your water now,dinner
andy,167,sit,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,Andy sit down and have some water,dinner
andy,167,have,False,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,Andy sit down and have some water,dinner
andy,168,want,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you want this big piece,dinner
andy,169,put,False,False,True,in,a,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,okay I~be go-PRESP~to put-ZERO it in a plate for you,dinner
andy,172,want,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you want some,dinner
andy,175,want,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,False,fork,want~to fork,dinner
andy,175,fork,False,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,want~to fork,dinner
andy,176,move,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,if we have_to move Andy where will-COND you like the move to be,dinner
andy,180,do,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,yeah we could do it,dinner
andy,181,know,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you know right now Lippman~s I do~not know,dinner
andy,181,know,False,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you know right now Lippman~s I do~not know,dinner
andy,183,do,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,I do-PAST,dinner
andy,185,eat,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,I eat-PAST it fast-CP than you,dinner
andy,187,know,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you know why,dinner
andy,191,take,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,I~will take another big piece,dinner
andy,192,win,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you win-PAST the race anyway Dad,dinner
andy,194,scoop,True,True,False,out,some,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,cause we scoop-PAST out some,dinner
andy,195,want,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,do you want some more,dinner
andy,196,scoop,True,True,False,of,center,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,we scoop-PAST out of the center,dinner
andy,199,need,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,need,dinner
andy,200,need,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,need,dinner
andy,202,feel,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,I feel that a lot right now,dinner
andy,204,play,True,True,False,with,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,Andy do~not play with,dinner
andy,205,come,True,True,False,in,second,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,I come-PAST in second,dinner
andy,206,win,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,True,come,Dad win-PAST I come-PAST in second you come-PAST in third,dinner
andy,206,come,False,True,False,in,second,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,Dad win-PAST I come-PAST in second you come-PAST in third,dinner
andy,206,come,False,True,False,in,third,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,Dad win-PAST I come-PAST in second you come-PAST in third,dinner
andy,210,eat,False,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you~be not go-PRESP~to eat that water,dinner
andy,211,think,False,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,I think I will,dinner
andy,214,go,True,True,True,to,want,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,okay you can go talk to Janet now if you want,dinner
andy,214,want,False,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,okay you can go talk to Janet now if you want,dinner
andy,216,want,True,True,False,to,show,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,oh you want-PAST to show that to her,dinner
andy,217,know,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,what,TENSED,True,do,I do~not know what you do-PAST with it,dinner
andy,217,do,False,True,True,with,it,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,I do~not know what you do-PAST with it,dinner
andy,218,look,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,look over round your chair,dinner
bobby,3,put,True,True,False,for,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,how much long-CP do-PAST you put-ZERO those on for,dinner
bobby,11,play,True,False,False,with,that,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,do~not play with that,dinner
bobby,14,take,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,no Daddy take-PAST the one that have-3S water,dinner
bobby,14,have,False,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,no Daddy take-PAST the one that have-3S water,dinner
bobby,30,eat,False,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,let~us eat here,dinner
bobby,31,put,True,True,True,on,thing,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you can put-ZERO them up on that thing,dinner
bobby,33,interact,False,False,False,at,table,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,the whole idea here be-3S that we be-PRES suppose-PASTP to interact at the table,dinner
bobby,35,pull,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,should I pull the table out,dinner
bobby,39,say,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,the kitchen~s hot what can I say,dinner
bobby,43,need,True,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,need some bowl-PL,dinner
bobby,49,survive,True,True,False,for,tonight,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you~will survive for tonight,dinner
bobby,51,do,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,True,put,do-PAST you put-ZERO the thing on,dinner
bobby,51,put,False,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,do-PAST you put-ZERO the thing on,dinner
bobby,56,see,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,no now you can see what you~be real-dadj like,dinner
bobby,59,say,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,do~not say anything,dinner
bobby,60,notice,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,he~will notice it then,dinner
bobby,63,do,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,what do-PAST you do today,dinner
bobby,65,go,True,False,False,to,beach,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,go to the beach,dinner
bobby,66,go,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,go ahead,dinner
bobby,67,bring,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you bring-PAST some,dinner
bobby,68,want,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,False,sit,want to sit down,dinner
bobby,68,sit,False,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,want to sit down,dinner
bobby,71,come,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,come on,dinner
bobby,72,get,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,get back,dinner
bobby,79,turn,True,False,True,for,now,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,turn it off for now,dinner
bobby,80,come,True,False,False,to,supper,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,come to supper,dinner
bobby,81,turn,True,False,True,for,now,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,turn it off for now,dinner
bobby,82,come,True,False,False,to,supper,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,come to supper,dinner
bobby,83,do,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,why~genmod you do that,dinner
bobby,86,turn,True,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,turn it off and come to supper,dinner
bobby,86,come,False,False,False,to,supper,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,turn it off and come to supper,dinner
bobby,89,turn,True,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,turn it off and come to supper please,dinner
bobby,89,come,False,False,False,to,supper,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,turn it off and come to supper please,dinner
bobby,92,see,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you~will see her,dinner
bobby,94,need,True,True,True,with,this,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you need some help with this,dinner
bobby,99,sit,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,sit over here,dinner
bobby,102,make,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,I have~not make-PAST any more,dinner
bobby,104,have,True,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,have some supper,dinner
bobby,105,eat,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,True,go,okay we can if we eat quick-dadj and we~will go out okay,dinner
bobby,105,go,False,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,okay we can if we eat quick-dadj and we~will go out okay,dinner
bobby,106,take,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,because if we take too long it~will be dark out,dinner
bobby,108,eat,False,False,False,up,supper,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you go-PRESP~to eat up all that supper,dinner
bobby,110,guess,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,what,TENSED,True,make,guess what I make-PAST for dessert,dinner
bobby,110,make,False,True,True,for,dessert,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,guess what I make-PAST for dessert,dinner
bobby,112,cause,False,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,that~be cause you ask-PAST for it yesterday,dinner
bobby,112,ask,True,True,False,for,yesterday,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,that~be cause you ask-PAST for it yesterday,dinner
bobby,113,have,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,I have a special dessert,dinner
bobby,115,bubble,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,bubble-3S,dinner
bobby,117,ask,True,True,False,for,it,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,what do you mean he he ask-PAST for it yesterday,dinner
bobby,118,do,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,he do-PAST,dinner
bobby,120,mean,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,that do-3S~not mean,dinner
bobby,123,ask,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you can ask,dinner
bobby,126,mean,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you mean,dinner
bobby,132,pee,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,she pee-PAST,dinner
bobby,133,have,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,False,go,have to to go to the bath,dinner
bobby,133,go,False,False,False,to,bath,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,have to to go to the bath,dinner
bobby,134,have,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,False,go,have to to go to the bath Jen,dinner
bobby,134,go,False,False,False,to,the,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,have to to go to the bath Jen,dinner
bobby,135,do,True,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,False,go,okay do you have_to go the bath,dinner
bobby,135,go,False,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,okay do you have_to go the bath,dinner
bobby,136,do,True,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,False,go,okay do you have_to go the bath though,dinner
bobby,136,go,False,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,okay do you have_to go the bath though,dinner
bobby,137,go,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,do you have_to go pot-DIM Jenny,dinner
bobby,139,come,False,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,so Peter~s go-PRESP~to come here tomorrow,dinner
bobby,141,sleep,False,False,False,for,the,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,and he~be go-PRESP~to sleep here for the rest of the week,dinner
bobby,142,stay,False,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,he~be go-PRESP~to stay four day-PL,dinner
bobby,144,leave,False,False,True,at,the,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,we~be go-PRESP to leave Sunday at the end of the month,dinner
bobby,146,go,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,three more Sundays have_to go by,dinner
bobby,148,want,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,do you want rice,dinner
bobby,149,put,True,True,True,on,yourself,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,no you can put-ZERO it on yourself,dinner
bobby,151,like,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you like that,dinner
bobby,152,take,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,she do-PAST~not take that long,dinner
bobby,155,know,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,True,happen,you know what happen-PAST,dinner
bobby,155,happen,False,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you know what happen-PAST,dinner
bobby,158,come,True,True,False,to,boil,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,they never come-PAST to a boil,dinner
bobby,164,have,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,they have a nice flavor,dinner
bobby,166,have,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,do you have a fork Jenny,dinner
bobby,168,care,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,will-COND you care,dinner
bobby,169,sit,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,before you sit down,dinner
bobby,176,see,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,see the steam,dinner
bobby,179,do,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you do-PAST~not have_to do it,dinner
bobby,180,get,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you do~not get any until you say the magic word wise guy,dinner
bobby,180,say,False,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you do~not get any until you say the magic word wise guy,dinner
bobby,181,give,True,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,do~not give me that stare,dinner
bobby,187,look,False,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,look now sit down,dinner
bobby,187,sit,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,look now sit down,dinner
bobby,188,eat,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,now I can eat,dinner
bobby,189,get,False,True,True,before,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you go-PRESP~to have_to say please before you get the spoon,dinner
bobby,191,happen,False,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,it~be a nice change for something to happen that~be different,dinner
bobby,194,pant,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,smart-dadj pant-3S,dinner
bobby,197,think,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,I think it~be pretty warm now,dinner
