child,sentenceid,verb,matrix,subj,obj,prep1,pobj1,prep2,pobj2,prep3,pobj3,comp,embtense,embsubj,embpred,sent,context,subcorp,childSentence
andy,125,do,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do-PAST Karen read-ZERO you any story-PL today,dinner,9,andy125
andy,125,read,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TRUE,NONE,do-PAST Karen read-ZERO you any story-PL today,dinner,9,andy125
andy,127,work,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,it do-3S~not work that well,dinner,9,andy127
andy,149,have,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,TRUE,NONE,have any problem-PL be-3S that it,dinner,0,andy149
andy,159,plant,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you plant-PAST it,dinner,0,andy159
andy,161,plant,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,it~be get-PASTP so big since you plant-PAST it,dinner,4,andy161
andy,165,want,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay you want your water now,dinner,6,andy165
andy,167,sit,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,Andy sit down and have some water,dinner,9,andy167
andy,167,have,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,Andy sit down and have some water,dinner,9,andy167
andy,168,want,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you want this big piece,dinner,9,andy168
andy,169,put,FALSE,FALSE,TRUE,in,a,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay I~be go-PRESP~to put-ZERO it in a plate for you,dinner,2,andy169
andy,172,want,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you want some,dinner,1,andy172
andy,175,want,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,fork,want~to fork,dinner,2,andy175
andy,175,fork,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,want~to fork,dinner,2,andy175
andy,176,move,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,if we have_to move Andy where will-COND you like the move to be,dinner,9,andy176
andy,180,do,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,yeah we could do it,dinner,3,andy180
andy,181,know,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you know right now Lippman~s I do~not know,dinner,2,andy181
andy,181,know,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you know right now Lippman~s I do~not know,dinner,2,andy181
andy,183,do,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I do-PAST,dinner,5,andy183
andy,185,eat,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I eat-PAST it fast-CP than you,dinner,9,andy185
andy,187,know,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you know why,dinner,1,andy187
andy,191,take,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I~will take another big piece,dinner,5,andy191
andy,192,win,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you win-PAST the race anyway Dad,dinner,4,andy192
andy,194,scoop,TRUE,TRUE,FALSE,out,some,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,cause we scoop-PAST out some,dinner,1,andy194
andy,195,want,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do you want some more,dinner,3,andy195
andy,196,scoop,TRUE,TRUE,FALSE,of,center,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,we scoop-PAST out of the center,dinner,6,andy196
andy,199,need,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,need,dinner,1,andy199
andy,200,need,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,need,dinner,6,andy200
andy,202,feel,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I feel that a lot right now,dinner,0,andy202
andy,204,play,TRUE,TRUE,FALSE,with,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,Andy do~not play with,dinner,7,andy204
andy,205,come,TRUE,TRUE,FALSE,in,second,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I come-PAST in second,dinner,5,andy205
andy,206,win,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,TRUE,come,Dad win-PAST I come-PAST in second you come-PAST in third,dinner,4,andy206
andy,206,come,FALSE,TRUE,FALSE,in,second,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,Dad win-PAST I come-PAST in second you come-PAST in third,dinner,4,andy206
andy,206,come,FALSE,TRUE,FALSE,in,third,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,Dad win-PAST I come-PAST in second you come-PAST in third,dinner,4,andy206
andy,210,eat,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you~be not go-PRESP~to eat that water,dinner,0,andy210
andy,211,think,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I think I will,dinner,3,andy211
andy,214,go,TRUE,TRUE,TRUE,to,want,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay you can go talk to Janet now if you want,dinner,5,andy214
andy,214,want,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay you can go talk to Janet now if you want,dinner,5,andy214
andy,217,know,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,what,TENSED,TRUE,do,I do~not know what you do-PAST with it,dinner,2,andy217
andy,217,do,FALSE,TRUE,TRUE,with,it,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I do~not know what you do-PAST with it,dinner,2,andy217
andy,218,look,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,look over round your chair,dinner,3,andy218
bobby,11,play,TRUE,FALSE,FALSE,with,that,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do~not play with that,dinner,5,bobby11
bobby,14,take,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,no Daddy take-PAST the one that have-3S water,dinner,3,bobby14
bobby,14,have,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,no Daddy take-PAST the one that have-3S water,dinner,3,bobby14
bobby,30,eat,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,let~us eat here,dinner,4,bobby30
bobby,31,put,TRUE,TRUE,TRUE,on,thing,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you can put-ZERO them up on that thing,dinner,7,bobby31
bobby,33,interact,FALSE,FALSE,FALSE,at,table,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,the whole idea here be-3S that we be-PRES suppose-PASTP to interact at the table,dinner,0,bobby33
bobby,35,pull,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,should I pull the table out,dinner,3,bobby35
bobby,39,say,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,the kitchen~s hot what can I say,dinner,1,bobby39
bobby,43,need,TRUE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,need some bowl-PL,dinner,9,bobby43
bobby,49,survive,TRUE,TRUE,FALSE,for,tonight,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you~will survive for tonight,dinner,7,bobby49
bobby,51,do,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,TRUE,put,do-PAST you put-ZERO the thing on,dinner,1,bobby51
bobby,51,put,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do-PAST you put-ZERO the thing on,dinner,1,bobby51
bobby,56,see,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,no now you can see what you~be real-dadj like,dinner,6,bobby56
bobby,60,notice,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,he~will notice it then,dinner,7,bobby60
bobby,63,do,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,what do-PAST you do today,dinner,1,bobby63
bobby,65,go,TRUE,FALSE,FALSE,to,beach,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,go to the beach,dinner,4,bobby65
bobby,66,go,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,go ahead,dinner,4,bobby66
bobby,67,bring,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you bring-PAST some,dinner,9,bobby67
bobby,68,want,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,sit,want to sit down,dinner,1,bobby68
bobby,68,sit,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,want to sit down,dinner,1,bobby68
bobby,71,come,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,come on,dinner,1,bobby71
bobby,79,turn,TRUE,FALSE,TRUE,for,now,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,turn it off for now,dinner,4,bobby79
bobby,81,turn,TRUE,FALSE,TRUE,for,now,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,turn it off for now,dinner,0,bobby81
bobby,82,come,TRUE,FALSE,FALSE,to,supper,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,come to supper,dinner,6,bobby82
bobby,83,do,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,why~genmod you do that,dinner,0,bobby83
bobby,86,turn,TRUE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,turn it off and come to supper,dinner,3,bobby86
bobby,86,come,FALSE,FALSE,FALSE,to,supper,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,turn it off and come to supper,dinner,3,bobby86
bobby,89,turn,TRUE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,turn it off and come to supper please,dinner,9,bobby89
bobby,89,come,FALSE,FALSE,FALSE,to,supper,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,turn it off and come to supper please,dinner,9,bobby89
bobby,92,see,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you~will see her,dinner,5,bobby92
bobby,94,need,TRUE,TRUE,TRUE,with,this,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you need some help with this,dinner,9,bobby94
bobby,99,sit,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,sit over here,dinner,2,bobby99
bobby,102,make,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I have~not make-PAST any more,dinner,1,bobby102
bobby,104,have,TRUE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,have some supper,dinner,6,bobby104
bobby,105,eat,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,TRUE,go,okay we can if we eat quick-dadj and we~will go out okay,dinner,5,bobby105
bobby,105,go,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay we can if we eat quick-dadj and we~will go out okay,dinner,5,bobby105
bobby,106,take,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,because if we take too long it~will be dark out,dinner,2,bobby106
bobby,108,eat,FALSE,FALSE,FALSE,up,supper,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you go-PRESP~to eat up all that supper,dinner,9,bobby108
bobby,110,guess,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,what,TENSED,TRUE,make,guess what I make-PAST for dessert,dinner,0,bobby110
bobby,110,make,FALSE,TRUE,TRUE,for,dessert,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,guess what I make-PAST for dessert,dinner,0,bobby110
bobby,112,cause,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,that~be cause you ask-PAST for it yesterday,dinner,4,bobby112
bobby,112,ask,TRUE,TRUE,FALSE,for,yesterday,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,that~be cause you ask-PAST for it yesterday,dinner,4,bobby112
bobby,113,have,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I have a special dessert,dinner,9,bobby113
bobby,115,bubble,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,bubble-3S,dinner,2,bobby115
bobby,117,ask,TRUE,TRUE,FALSE,for,it,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,what do you mean he he ask-PAST for it yesterday,dinner,4,bobby117
bobby,118,do,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,he do-PAST,dinner,9,bobby118
bobby,120,mean,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,that do-3S~not mean,dinner,9,bobby120
bobby,123,ask,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you can ask,dinner,4,bobby123
bobby,132,pee,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,she pee-PAST,dinner,0,bobby132
bobby,133,have,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,go,have to to go to the bath,dinner,0,bobby133
bobby,133,go,FALSE,FALSE,FALSE,to,bath,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,have to to go to the bath,dinner,0,bobby133
bobby,134,have,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,go,have to to go to the bath Jen,dinner,5,bobby134
bobby,134,go,FALSE,FALSE,FALSE,to,the,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,have to to go to the bath Jen,dinner,5,bobby134
bobby,135,do,TRUE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,FALSE,go,okay do you have_to go the bath,dinner,7,bobby135
bobby,135,go,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay do you have_to go the bath,dinner,7,bobby135
bobby,136,do,TRUE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,FALSE,go,okay do you have_to go the bath though,dinner,5,bobby136
bobby,136,go,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay do you have_to go the bath though,dinner,5,bobby136
bobby,137,go,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do you have_to go pot-DIM Jenny,dinner,7,bobby137
bobby,139,come,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,so Peter~s go-PRESP~to come here tomorrow,dinner,4,bobby139
bobby,141,sleep,FALSE,FALSE,FALSE,for,the,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,and he~be go-PRESP~to sleep here for the rest of the week,dinner,7,bobby141
bobby,144,leave,FALSE,FALSE,TRUE,at,the,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,we~be go-PRESP to leave Sunday at the end of the month,dinner,0,bobby144
bobby,146,go,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,three more Sundays have_to go by,dinner,4,bobby146
bobby,148,want,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do you want rice,dinner,3,bobby148
bobby,149,put,TRUE,TRUE,TRUE,on,yourself,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,no you can put-ZERO it on yourself,dinner,2,bobby149
bobby,151,like,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you like that,dinner,1,bobby151
bobby,152,take,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,she do-PAST~not take that long,dinner,2,bobby152
bobby,155,know,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,TRUE,happen,you know what happen-PAST,dinner,3,bobby155
bobby,155,happen,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you know what happen-PAST,dinner,3,bobby155
