child,sentenceid,verb,matrix,subj,obj,prep1,pobj1,prep2,pobj2,prep3,pobj3,comp,embtense,embsubj,embpred,sent,context,subcorp,childSentence,,child,rand,childinitial,rand,
andy,164,want,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,pick,do you want~to pick up that marble so you will~not keep trip-PRESP on it,dinner,8,andy164,,andy202,0,a,0.897827248,0
andy,164,pick,FALSE,FALSE,FALSE,up,marble,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do you want~to pick up that marble so you will~not keep trip-PRESP on it,dinner,8,andy164,,andy204,7,a,0.898827559,7
andy,164,keep,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do you want~to pick up that marble so you will~not keep trip-PRESP on it,dinner,8,andy164,,andy205,5,a,0.257115996,5
andy,165,want,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay you want your water now,dinner,6,andy165,,andy206,4,a,0.473106258,4
andy,167,sit,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,Andy sit down and have some water,dinner,9,andy167,,andy210,0,a,0.068134651,0
andy,167,have,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,Andy sit down and have some water,dinner,9,andy167,,andy211,3,a,0.193553566,3
andy,168,want,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you want this big piece,dinner,9,andy168,,andy214,5,a,0.33557685,5
andy,169,put,FALSE,FALSE,TRUE,in,a,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay I~be go-PRESP~to put-ZERO it in a plate for you,dinner,2,andy169,,andy216,8,a,0.459114091,8
andy,172,want,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you want some,dinner,1,andy172,,andy217,2,a,0.008497333,2
andy,175,want,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,fork,want~to fork,dinner,2,andy175,,andy218,3,a,0.925117436,3
andy,175,fork,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,want~to fork,dinner,2,andy175,,bobby3,8,b,0.764926266,8
andy,176,move,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,if we have_to move Andy where will-COND you like the move to be,dinner,9,andy176,,bobby11,5,b,0.355100462,5
andy,180,do,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,yeah we could do it,dinner,3,andy180,,bobby14,3,b,0.478483297,3
andy,181,know,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you know right now Lippman~s I do~not know,dinner,2,andy181,,bobby30,4,b,0.140855459,4
andy,181,know,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you know right now Lippman~s I do~not know,dinner,2,andy181,,bobby31,7,b,0.287334018,7
andy,183,do,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I do-PAST,dinner,5,andy183,,bobby33,0,b,0.730603165,0
andy,185,eat,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I eat-PAST it fast-CP than you,dinner,9,andy185,,bobby35,3,b,0.986359701,3
andy,187,know,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you know why,dinner,1,andy187,,bobby39,1,b,0.712389103,1
andy,191,take,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I~will take another big piece,dinner,5,andy191,,bobby43,9,b,0.642305306,9
andy,192,win,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you win-PAST the race anyway Dad,dinner,4,andy192,,bobby49,7,b,0.498963472,7
andy,194,scoop,TRUE,TRUE,FALSE,out,some,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,cause we scoop-PAST out some,dinner,1,andy194,,bobby51,1,b,0.891628356,1
andy,195,want,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do you want some more,dinner,3,andy195,,bobby56,6,b,0.565531927,6
andy,196,scoop,TRUE,TRUE,FALSE,of,center,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,we scoop-PAST out of the center,dinner,6,andy196,,bobby59,8,b,0.60419127,8
andy,199,need,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,need,dinner,1,andy199,,bobby60,7,b,0.649464833,7
andy,200,need,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,need,dinner,6,andy200,,bobby63,1,b,0.497734343,1
andy,202,feel,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I feel that a lot right now,dinner,0,andy202,,bobby65,4,b,0.918158923,4
andy,204,play,TRUE,TRUE,FALSE,with,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,Andy do~not play with,dinner,7,andy204,,bobby66,4,b,0.693162977,4
andy,205,come,TRUE,TRUE,FALSE,in,second,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I come-PAST in second,dinner,5,andy205,,bobby67,9,b,0.139056244,9
andy,206,win,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,TRUE,come,Dad win-PAST I come-PAST in second you come-PAST in third,dinner,4,andy206,,bobby68,1,b,0.046834558,1
andy,206,come,FALSE,TRUE,FALSE,in,second,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,Dad win-PAST I come-PAST in second you come-PAST in third,dinner,4,andy206,,bobby71,1,b,0.44059077,1
andy,206,come,FALSE,TRUE,FALSE,in,third,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,Dad win-PAST I come-PAST in second you come-PAST in third,dinner,4,andy206,,bobby72,8,b,0.277934434,8
andy,210,eat,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you~be not go-PRESP~to eat that water,dinner,0,andy210,,bobby79,4,b,0.017066711,4
andy,211,think,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I think I will,dinner,3,andy211,,bobby80,8,b,0.723581083,8
andy,214,go,TRUE,TRUE,TRUE,to,want,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay you can go talk to Janet now if you want,dinner,5,andy214,,bobby81,0,b,0.234914318,0
andy,214,want,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay you can go talk to Janet now if you want,dinner,5,andy214,,bobby82,6,b,0.187666624,6
andy,216,want,TRUE,TRUE,FALSE,to,show,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,oh you want-PAST to show that to her,dinner,8,andy216,,bobby83,0,b,0.062819354,0
andy,217,know,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,what,TENSED,TRUE,do,I do~not know what you do-PAST with it,dinner,2,andy217,,bobby86,3,b,0.897232732,3
andy,217,do,FALSE,TRUE,TRUE,with,it,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I do~not know what you do-PAST with it,dinner,2,andy217,,bobby89,9,b,0.363771688,9
andy,218,look,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,look over round your chair,dinner,3,andy218,,bobby92,5,b,0.28120948,5
bobby,3,put,TRUE,TRUE,FALSE,for,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,how much long-CP do-PAST you put-ZERO those on for,dinner,8,bobby3,,bobby94,9,b,0.057006698,9
bobby,11,play,TRUE,FALSE,FALSE,with,that,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do~not play with that,dinner,5,bobby11,,bobby99,2,b,0.92411408,2
bobby,14,take,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,no Daddy take-PAST the one that have-3S water,dinner,3,bobby14,,bobby102,1,b,0.527934991,1
bobby,14,have,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,no Daddy take-PAST the one that have-3S water,dinner,3,bobby14,,bobby104,6,b,0.150032819,6
bobby,30,eat,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,let~us eat here,dinner,4,bobby30,,bobby105,5,b,0.57373369,5
bobby,31,put,TRUE,TRUE,TRUE,on,thing,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you can put-ZERO them up on that thing,dinner,7,bobby31,,bobby106,2,b,0.099829951,2
bobby,33,interact,FALSE,FALSE,FALSE,at,table,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,the whole idea here be-3S that we be-PRES suppose-PASTP to interact at the table,dinner,0,bobby33,,bobby108,9,b,0.64901752,9
bobby,35,pull,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,should I pull the table out,dinner,3,bobby35,,bobby110,0,b,0.707789373,0
bobby,39,say,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,the kitchen~s hot what can I say,dinner,1,bobby39,,bobby112,4,b,0.044915246,4
bobby,43,need,TRUE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,need some bowl-PL,dinner,9,bobby43,,bobby113,9,b,0.153338642,9
bobby,49,survive,TRUE,TRUE,FALSE,for,tonight,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you~will survive for tonight,dinner,7,bobby49,,bobby115,2,b,0.940030914,2
bobby,51,do,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,TRUE,put,do-PAST you put-ZERO the thing on,dinner,1,bobby51,,bobby117,4,b,0.107116195,4
bobby,51,put,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do-PAST you put-ZERO the thing on,dinner,1,bobby51,,bobby118,9,b,0.166110644,9
bobby,56,see,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,no now you can see what you~be real-dadj like,dinner,6,bobby56,,bobby120,9,b,0.294849525,9
bobby,59,say,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do~not say anything,dinner,8,bobby59,,bobby123,4,b,0.708069873,4
bobby,60,notice,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,he~will notice it then,dinner,7,bobby60,,bobby126,8,b,0.468144457,8
bobby,63,do,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,what do-PAST you do today,dinner,1,bobby63,,bobby132,0,b,0.269350126,0
bobby,65,go,TRUE,FALSE,FALSE,to,beach,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,go to the beach,dinner,4,bobby65,,bobby133,0,b,0.066515726,0
bobby,66,go,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,go ahead,dinner,4,bobby66,,bobby134,5,b,0.847471202,5
bobby,67,bring,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you bring-PAST some,dinner,9,bobby67,,bobby135,7,b,0.276123383,7
