child,comp[T.WH],embpred[T.True],embsubj[T.True],embtense[T.TENSED],embtense[T.TO],itr,obj[T.True],prep1[T.True],verb,sent,subcorp
andy,0,0,0,0,0,0,0,1,go,Andy do-PAST~not want to go to the park and he play-PAST a long time,7
andy,0,0,0,0,0,0,0,0,play,Andy do-PAST~not want to go to the park and he play-PAST a long time,7
andy,0,0,0,0,0,0,0,0,time,Andy do-PAST~not want to go to the park and he play-PAST a long time,7
andy,0,0,0,0,0,0,0,0,do,you do-PAST,1
andy,0,0,0,0,0,0,0,1,talk,do-PAST he talk to you,8
andy,0,0,0,0,0,0,1,0,say,what~genmod he say,1
andy,0,0,0,0,0,0,0,0,do,he do-PAST,1
andy,0,0,0,0,0,0,1,0,tell,what~genmod he tell you,2
andy,0,0,0,0,0,0,0,0,have,he must have have-PAST a lot,9
andy,1,1,1,1,0,0,1,0,tell,do-PAST he tell you where he~genmod be-PASTP,4
andy,1,1,1,1,0,0,1,0,tell,do-PAST he tell you where he have-PAST be-PASTP,7
andy,0,0,0,0,0,0,0,0,stay,and the plant stay-3S the same size grow-PRESP,9
andy,0,0,0,0,0,0,0,0,take,I take-PAST a few off the other day,5
andy,0,0,0,0,0,0,0,0,shrivel,no they be-PAST all shrivel-PAST up,9
andy,0,0,0,0,0,0,0,0,keep,okay the next one you can keep,7
andy,0,0,0,0,0,0,0,0,sit,well sit here and talk to us then,7
andy,0,0,0,0,0,0,0,0,come,come on,1
andy,0,0,0,0,0,0,1,0,want,hey Andy you want some water for dessert,8
andy,0,0,0,0,0,0,0,1,work,he be-PAST tell-PRESP Janet how it do-3S~not work as_well as it do-PAST,1
andy,0,0,0,0,0,0,0,0,do,he be-PAST tell-PRESP Janet how it do-3S~not work as_well as it do-PAST,1
andy,0,1,0,1,0,0,1,0,say,well you say-PAST it do-PAST~not go as fast as it do-PAST right,8
andy,0,0,0,0,0,0,0,1,go,well you say-PAST it do-PAST~not go as fast as it do-PAST right,8
andy,0,0,0,0,0,0,0,0,do,well you say-PAST it do-PAST~not go as fast as it do-PAST right,8
andy,0,0,0,0,0,0,0,0,go,okay go back and finish up some more food,9
andy,0,0,0,0,0,0,0,1,finish,okay go back and finish up some more food,9
andy,0,0,0,0,0,0,1,0,want,then what do you want some water,9
andy,0,1,0,0,0,0,1,0,let,now let-ZERO me see,7
andy,0,0,0,0,0,0,0,0,see,now let-ZERO me see,7
andy,0,0,0,0,0,0,0,0,get,everything get-3S catch-PAST when you go over it,9
andy,0,0,0,0,0,0,0,0,catch,everything get-3S catch-PAST when you go over it,9
andy,0,0,0,0,0,0,0,1,go,everything get-3S catch-PAST when you go over it,9
andy,0,0,0,0,0,0,0,0,want,want some more,4
andy,0,0,0,0,0,0,0,0,do,do-PAST Karen read-ZERO you any story-PL today,9
andy,0,0,1,0,0,0,1,0,read,do-PAST Karen read-ZERO you any story-PL today,9
andy,0,0,0,0,0,0,0,0,work,it do-3S~not work that well,9
andy,0,0,1,1,0,0,0,0,have,have any problem-PL be-3S that it,0
andy,0,0,0,0,0,0,1,1,enjoy,at least we will-COND enjoy it more,8
andy,0,0,0,0,0,0,1,0,plant,you plant-PAST it,0
andy,0,0,0,0,0,0,0,0,plant,it~be get-PASTP so big since you plant-PAST it,4
andy,0,1,0,0,1,0,0,0,want,do you want~to pick up that marble so you will~not keep trip-PRESP on it,8
andy,0,0,0,0,0,0,0,1,pick,do you want~to pick up that marble so you will~not keep trip-PRESP on it,8
andy,0,0,0,0,0,0,0,0,keep,do you want~to pick up that marble so you will~not keep trip-PRESP on it,8
andy,0,0,0,0,0,0,1,0,want,okay you want your water now,6
andy,0,0,0,0,0,0,0,0,sit,Andy sit down and have some water,9
andy,0,0,0,0,0,0,1,0,have,Andy sit down and have some water,9
andy,0,0,0,0,0,0,1,0,want,you want this big piece,9
andy,0,0,0,0,0,0,1,1,put,okay I~be go-PRESP~to put-ZERO it in a plate for you,2
andy,0,0,0,0,0,0,0,0,want,you want some,1
andy,0,1,0,0,1,0,0,0,want,want~to fork,2
andy,0,0,0,0,0,0,0,0,fork,want~to fork,2
andy,0,0,0,0,0,0,1,0,move,if we have_to move Andy where will-COND you like the move to be,9
andy,0,0,0,0,0,0,1,0,do,yeah we could do it,3
andy,0,0,0,0,0,0,0,0,know,you know right now Lippman~s I do~not know,2
andy,0,0,0,0,0,0,0,0,know,you know right now Lippman~s I do~not know,2
andy,0,0,0,0,0,0,0,0,do,I do-PAST,5
andy,0,0,0,0,0,0,1,0,eat,I eat-PAST it fast-CP than you,9
andy,0,0,0,0,0,0,0,0,know,you know why,1
andy,0,0,0,0,0,0,1,0,take,I~will take another big piece,5
andy,0,0,0,0,0,0,0,0,win,you win-PAST the race anyway Dad,4
andy,0,0,0,0,0,0,0,1,scoop,cause we scoop-PAST out some,1
andy,0,0,0,0,0,0,0,0,want,do you want some more,3
andy,0,0,0,0,0,0,0,1,scoop,we scoop-PAST out of the center,6
andy,0,0,0,0,0,0,0,0,need,need,1
andy,0,0,0,0,0,0,0,0,need,need,6
andy,0,0,0,0,0,0,0,0,feel,I feel that a lot right now,0
andy,0,0,0,0,0,0,0,1,play,Andy do~not play with,7
andy,0,0,0,0,0,0,0,1,come,I come-PAST in second,5
andy,0,1,1,1,0,0,0,0,win,Dad win-PAST I come-PAST in second you come-PAST in third,4
andy,0,0,0,0,0,0,0,1,come,Dad win-PAST I come-PAST in second you come-PAST in third,4
andy,0,0,0,0,0,0,0,1,come,Dad win-PAST I come-PAST in second you come-PAST in third,4
andy,0,0,0,0,0,0,1,0,eat,you~be not go-PRESP~to eat that water,0
andy,0,0,0,0,0,0,0,0,think,I think I will,3
andy,0,0,0,0,0,0,1,1,go,okay you can go talk to Janet now if you want,5
andy,0,0,0,0,0,0,0,0,want,okay you can go talk to Janet now if you want,5
andy,0,0,0,0,0,0,0,1,want,oh you want-PAST to show that to her,8
andy,1,1,1,1,0,0,0,0,know,I do~not know what you do-PAST with it,2
andy,0,0,0,0,0,0,1,1,do,I do~not know what you do-PAST with it,2
andy,0,0,0,0,0,0,0,0,look,look over round your chair,3
bobby,0,0,0,0,0,0,0,1,put,how much long-CP do-PAST you put-ZERO those on for,8
bobby,0,0,0,0,0,0,0,1,play,do~not play with that,5
bobby,0,0,0,0,0,0,0,0,take,no Daddy take-PAST the one that have-3S water,3
bobby,0,0,0,0,0,0,1,0,have,no Daddy take-PAST the one that have-3S water,3
bobby,0,0,0,0,0,0,0,0,eat,let~us eat here,4
bobby,0,0,0,0,0,0,1,1,put,you can put-ZERO them up on that thing,7
bobby,0,0,0,0,0,0,0,1,interact,the whole idea here be-3S that we be-PRES suppose-PASTP to interact at the table,0
bobby,0,0,0,0,0,0,0,0,pull,should I pull the table out,3
bobby,0,0,0,0,0,0,1,0,say,the kitchen~s hot what can I say,1
bobby,0,0,0,0,0,0,1,0,need,need some bowl-PL,9
bobby,0,0,0,0,0,0,0,1,survive,you~will survive for tonight,7
bobby,0,1,1,1,0,0,0,0,do,do-PAST you put-ZERO the thing on,1
bobby,0,0,0,0,0,0,0,0,put,do-PAST you put-ZERO the thing on,1
bobby,0,0,0,0,0,0,0,0,see,no now you can see what you~be real-dadj like,6
bobby,0,0,0,0,0,0,0,0,say,do~not say anything,8
bobby,0,0,0,0,0,0,1,0,notice,he~will notice it then,7
bobby,0,0,0,0,0,0,1,0,do,what do-PAST you do today,1
bobby,0,0,0,0,0,0,0,1,go,go to the beach,4
bobby,0,0,0,0,0,0,0,0,go,go ahead,4
bobby,0,0,0,0,0,0,0,0,bring,you bring-PAST some,9
bobby,0,1,0,0,1,0,0,0,want,want to sit down,1
bobby,0,0,0,0,0,0,0,0,sit,want to sit down,1
bobby,0,0,0,0,0,0,0,0,come,come on,1
bobby,0,0,0,0,0,0,0,0,get,get back,8
bobby,0,0,0,0,0,0,1,1,turn,turn it off for now,4
bobby,0,0,0,0,0,0,0,1,come,come to supper,8
bobby,0,0,0,0,0,0,1,1,turn,turn it off for now,0
bobby,0,0,0,0,0,0,0,1,come,come to supper,6
bobby,0,0,0,0,0,0,0,0,do,why~genmod you do that,0
bobby,0,0,0,0,0,0,1,0,turn,turn it off and come to supper,3
bobby,0,0,0,0,0,0,0,1,come,turn it off and come to supper,3
bobby,0,0,0,0,0,0,1,0,turn,turn it off and come to supper please,9
bobby,0,0,0,0,0,0,0,1,come,turn it off and come to supper please,9
bobby,0,0,0,0,0,0,1,0,see,you~will see her,5
bobby,0,0,0,0,0,0,1,1,need,you need some help with this,9
bobby,0,0,0,0,0,0,0,0,sit,sit over here,2
bobby,0,0,0,0,0,0,0,0,make,I have~not make-PAST any more,1
bobby,0,0,0,0,0,0,1,0,have,have some supper,6
bobby,0,1,1,1,0,0,0,0,eat,okay we can if we eat quick-dadj and we~will go out okay,5
bobby,0,0,0,0,0,0,0,0,go,okay we can if we eat quick-dadj and we~will go out okay,5
bobby,0,0,0,0,0,0,0,0,take,because if we take too long it~will be dark out,2
bobby,0,0,0,0,0,0,0,1,eat,you go-PRESP~to eat up all that supper,9
bobby,1,1,1,1,0,0,0,0,guess,guess what I make-PAST for dessert,0
bobby,0,0,0,0,0,0,1,1,make,guess what I make-PAST for dessert,0
bobby,0,0,0,0,0,0,0,0,cause,that~be cause you ask-PAST for it yesterday,4
bobby,0,0,0,0,0,0,0,1,ask,that~be cause you ask-PAST for it yesterday,4
bobby,0,0,0,0,0,0,1,0,have,I have a special dessert,9
bobby,0,0,0,0,0,0,0,0,bubble,bubble-3S,2
bobby,0,0,0,0,0,0,0,1,ask,what do you mean he he ask-PAST for it yesterday,4
bobby,0,0,0,0,0,0,0,0,do,he do-PAST,9
bobby,0,0,0,0,0,0,0,0,mean,that do-3S~not mean,9
bobby,0,0,0,0,0,0,0,0,ask,you can ask,4
bobby,0,0,0,0,0,0,0,0,mean,you mean,8
bobby,0,0,0,0,0,0,0,0,pee,she pee-PAST,0
bobby,0,1,0,0,1,0,0,0,have,have to to go to the bath,0
bobby,0,0,0,0,0,0,0,1,go,have to to go to the bath,0
bobby,0,1,0,0,1,0,0,0,have,have to to go to the bath Jen,5
bobby,0,0,0,0,0,0,0,1,go,have to to go to the bath Jen,5
bobby,0,1,0,1,0,0,1,0,do,okay do you have_to go the bath,7
bobby,0,0,0,0,0,0,1,0,go,okay do you have_to go the bath,7
bobby,0,1,0,1,0,0,1,0,do,okay do you have_to go the bath though,5
bobby,0,0,0,0,0,0,0,0,go,okay do you have_to go the bath though,5
bobby,0,0,0,0,0,0,1,0,go,do you have_to go pot-DIM Jenny,7
bobby,0,0,0,0,0,0,0,0,come,so Peter~s go-PRESP~to come here tomorrow,4
bobby,0,0,0,0,0,0,0,1,sleep,and he~be go-PRESP~to sleep here for the rest of the week,7
bobby,0,0,0,0,0,0,1,0,stay,he~be go-PRESP~to stay four day-PL,8
bobby,0,0,0,0,0,0,1,1,leave,we~be go-PRESP to leave Sunday at the end of the month,0
bobby,0,0,0,0,0,0,0,0,go,three more Sundays have_to go by,4
bobby,0,0,0,0,0,0,1,0,want,do you want rice,3
bobby,0,0,0,0,0,0,1,1,put,no you can put-ZERO it on yourself,2
bobby,0,0,0,0,0,0,0,0,like,you like that,1
bobby,0,0,0,0,0,0,0,0,take,she do-PAST~not take that long,2
bobby,0,1,1,1,0,0,0,0,know,you know what happen-PAST,3
bobby,0,0,0,0,0,0,0,0,happen,you know what happen-PAST,3
bobby,0,0,0,0,0,0,0,1,come,they never come-PAST to a boil,7
bobby,0,0,0,0,0,0,1,0,have,they have a nice flavor,9
bobby,0,0,0,0,0,0,0,0,have,do you have a fork Jenny,8
bobby,0,0,0,0,0,0,0,0,care,will-COND you care,7
bobby,0,0,0,0,0,0,0,0,sit,before you sit down,0
bobby,0,0,0,0,0,0,0,0,see,see the steam,1
bobby,0,0,0,0,0,0,1,0,do,you do-PAST~not have_to do it,0
bobby,0,0,0,0,0,0,0,0,get,you do~not get any until you say the magic word wise guy,9
bobby,0,0,0,0,0,0,1,0,say,you do~not get any until you say the magic word wise guy,9
bobby,0,0,0,0,0,0,1,0,give,do~not give me that stare,5
bobby,0,0,0,0,0,0,0,0,look,look now sit down,5
bobby,0,0,0,0,0,0,0,0,sit,look now sit down,5
bobby,0,0,0,0,0,0,0,0,eat,now I can eat,0
bobby,0,0,0,0,0,0,1,1,get,you go-PRESP~to have_to say please before you get the spoon,3
bobby,0,0,0,0,0,0,0,0,happen,it~be a nice change for something to happen that~be different,4
bobby,0,0,0,0,0,0,0,0,pant,smart-dadj pant-3S,9
bobby,0,0,0,0,0,0,1,0,think,I think it~be pretty warm now,8
bobby,0,0,0,0,0,0,0,0,go,where~genmod you go eat fish today,4
bobby,0,0,0,0,0,0,0,0,eat,where~genmod you go eat fish today,4
bobby,0,0,0,0,0,0,0,1,hang,after that just hang-PAST around,4
bobby,0,0,0,0,0,0,0,1,go,go in the office today,6
bobby,0,0,0,0,0,0,1,0,get,what time do-PAST you get home,1
bobby,0,1,1,1,0,0,0,0,know,I know it start-PAST yesterday at five,5
bobby,0,0,0,0,0,0,0,0,start,I know it start-PAST yesterday at five,5
bobby,0,1,0,0,1,0,0,0,have,yeah I have-PAST to take the way,5
bobby,0,0,0,0,0,0,0,0,take,yeah I have-PAST to take the way,5
bobby,0,0,0,0,0,0,0,0,have,you have some here,6
bobby,0,0,0,0,0,0,0,0,make,make sure you chew that meat well Bob,8
bobby,0,0,0,0,0,0,0,0,chew,make sure you chew that meat well Bob,8
bobby,0,0,0,0,0,0,0,0,make,make sure you chew that meat well cause it~be tough,5
bobby,0,0,0,0,0,0,0,0,chew,make sure you chew that meat well cause it~be tough,5
bobby,0,0,0,0,0,0,0,0,stay,she~be try-PRESP to stay,0
bobby,0,1,0,0,1,0,0,0,like,I~have be-PASTP think-PRESP I~genmod like to ride my bike over too until it get-PAST snow-dn out,8
bobby,0,0,0,0,0,0,1,1,ride,I~have be-PASTP think-PRESP I~genmod like to ride my bike over too until it get-PAST snow-dn out,8
bobby,0,0,0,0,0,0,0,0,get,I~have be-PASTP think-PRESP I~genmod like to ride my bike over too until it get-PAST snow-dn out,8
bobby,0,1,0,0,1,0,0,0,try,I try-PAST to take,8
bobby,0,0,0,0,0,0,0,0,take,I try-PAST to take,8
bobby,0,1,1,1,0,0,1,0,tell,I tell-PAST her I only want-PAST to take one course,7
bobby,0,1,0,0,1,0,0,0,want,I tell-PAST her I only want-PAST to take one course,7
bobby,0,0,0,0,0,0,1,0,take,I tell-PAST her I only want-PAST to take one course,7
bobby,0,0,0,0,0,0,1,1,say,what~genmod she say to that,4
bobby,0,0,0,0,0,0,0,0,appreciate,do-PAST she appreciate why,6
bobby,0,1,1,1,0,0,0,0,do,I mean do-PAST she say sound-3S good or bad or,2
bobby,0,0,0,0,0,0,0,0,say,I mean do-PAST she say sound-3S good or bad or,2
bobby,0,0,0,0,0,0,0,0,sound,I mean do-PAST she say sound-3S good or bad or,2
bobby,0,1,0,1,0,0,1,0,say,she do-PAST~not say it sound-PAST,3
bobby,0,0,0,0,0,0,0,0,sound,she do-PAST~not say it sound-PAST,3
bobby,0,0,0,0,0,0,0,1,look,look at this,0
bobby,0,1,0,0,0,0,1,0,make,make it look,7
bobby,0,0,0,0,0,0,0,0,look,make it look,7
bobby,0,0,0,0,0,0,0,0,end,Bob it~be go-PRESP to end up all in your lap,5
bobby,0,0,0,0,0,0,0,0,put,put-ZERO the spoon down,9
bobby,0,0,0,0,0,0,0,0,lose,and you lose one,6
bobby,0,0,0,0,0,0,0,0,see,see,7
bobby,0,0,0,0,0,0,0,0,spill,it~be go-PRESP~to spill all over the place,9
bobby,0,0,0,0,0,0,1,0,cut,cut-ZERO it out,0
bobby,0,0,0,0,0,0,0,0,put,put-ZERO,7
bobby,0,0,0,0,0,0,0,0,put,put-ZERO down one,2
bobby,0,0,0,0,0,0,0,0,put,put-ZERO the fork down,8
bobby,0,1,0,0,1,0,0,0,want,Jennifer you do~not want to spill it all over your lap,2
bobby,0,0,0,0,0,0,1,0,spill,Jennifer you do~not want to spill it all over your lap,2
bobby,0,0,0,0,0,0,0,0,have,could I have some more,0
bobby,0,0,0,0,0,0,0,0,eat,do~not eat fast,1
bobby,0,0,0,0,0,0,0,0,have,you have plenty of milk glass,4
bobby,0,0,0,0,0,0,1,0,save,save it,1
bobby,0,0,0,0,0,0,1,0,drink,do~not drink it all now,2
bobby,0,0,0,0,0,0,0,0,finish,you~be go-PRESP~to be thirst-dn when you finish,5
bobby,0,0,0,0,0,0,0,0,go,oh I go-PAST,3
bobby,0,0,0,0,0,0,0,1,come,I be-PAST think-PRESP of invite-PRESP Andy to come with with us,7
bobby,0,0,0,0,0,0,1,0,believe,do you believe it~be suppose-PAST to be eight-dn five or ninety tomorrow,5
bobby,0,1,0,0,1,0,0,0,suppose,do you believe it~be suppose-PAST to be eight-dn five or ninety tomorrow,5
bobby,0,0,0,0,0,0,0,0,have,do you have,6
bobby,0,0,0,0,0,0,1,0,hear,I do-PAST~not hear you,7
bobby,0,0,0,0,0,0,1,0,begin,begin what,8
bobby,0,0,0,0,0,0,0,0,say,say that again,6
bobby,0,0,0,0,0,0,0,0,say,say they~be like one day old one day,3
bobby,0,0,0,0,0,0,1,0,even,not even one year old,8
bobby,0,0,0,0,0,0,0,0,go,when name have-3S her baby it~be also possible you can go and see it,1
bobby,0,0,0,0,0,0,1,0,see,when name have-3S her baby it~be also possible you can go and see it,1
bobby,1,1,1,1,0,0,0,0,see,see how tiny it be-3S,5
bobby,0,0,0,0,0,0,0,0,say,say if she have-3S it Wednesday Thursday,3
bobby,0,0,0,0,0,0,1,0,come,she~will come home Saturday morning,7
bobby,0,0,0,0,0,0,1,0,come,she come-3S home Sunday,5
bobby,0,0,0,0,0,0,0,0,go,well we~will go down Saturday and see her,3
bobby,0,0,0,0,0,0,1,0,see,well we~will go down Saturday and see her,3
bobby,0,0,0,0,0,0,1,0,have,but if I have her child-PL child-PL what be-PRES we go-PRESP~to do on the other thing-PL plan-PAST for the day,0
bobby,0,0,0,0,0,0,0,1,do,but if I have her child-PL child-PL what be-PRES we go-PRESP~to do on the other thing-PL plan-PAST for the day,0
bobby,0,0,0,0,0,0,0,1,plan,but if I have her child-PL child-PL what be-PRES we go-PRESP~to do on the other thing-PL plan-PAST for the day,0
bobby,0,0,0,0,0,0,1,0,come,if she come-3S home Sunday she~will want to see them and,5
bobby,0,1,0,0,1,0,0,0,want,if she come-3S home Sunday she~will want to see them and,5
bobby,0,0,0,0,0,0,1,0,see,if she come-3S home Sunday she~will want to see them and,5
bobby,0,1,1,1,0,0,0,0,say,say we~will stop off,5
bobby,0,0,0,0,0,0,0,0,stop,say we~will stop off,5
bobby,0,0,0,0,0,0,1,0,eat,you eat-PAST it all,2
bobby,0,0,0,0,0,0,1,0,want,you want some more pea-PL and rice,0
bobby,0,0,0,0,0,0,1,0,try,try some more pea-PL,9
bobby,0,0,0,0,0,0,1,0,want,do you want any rice,5
bobby,0,1,1,1,0,0,0,0,say,he say-PAST she be-PAST ready to go any minute,1
bobby,0,0,0,0,0,0,1,0,go,he say-PAST she be-PAST ready to go any minute,1
bobby,0,0,0,0,0,0,0,0,get,if we get a call we know the message,3
bobby,0,0,0,0,0,0,1,0,know,if we get a call we know the message,3
bobby,0,0,0,0,0,0,0,0,set,should we set-ZERO the crib up or let-ZERO him sleep in the play,6
bobby,0,0,0,0,0,0,1,0,let,should we set-ZERO the crib up or let-ZERO him sleep in the play,6
bobby,0,0,0,0,0,0,0,1,sleep,should we set-ZERO the crib up or let-ZERO him sleep in the play,6
bobby,0,0,0,0,0,0,0,1,sleep,can he sleep in the play,7
bobby,0,1,0,0,1,0,0,0,want,want me to set-ZERO it up,0
bobby,0,0,0,0,0,0,1,0,set,want me to set-ZERO it up,0
bobby,0,0,0,0,0,0,0,1,sleep,you~be not too excite-PASTP about let-PRESP him sleep in the play,5
bobby,0,0,0,0,0,0,1,0,want,pumpkin you want some more pea-PL too,4
bobby,0,0,0,0,0,0,1,0,want,want some rice,1
bobby,0,0,0,0,0,0,1,0,want,want some rice,4
bobby,0,0,0,0,0,0,1,0,want,want some rice with it,1
bobby,0,0,0,0,0,0,0,0,want,do you want any,5
bobby,0,0,0,0,0,0,0,0,have,I have some,9
bobby,0,0,0,0,0,0,0,0,say,I say-PAST,8
bobby,0,0,0,0,0,0,0,0,want,do you want a little bit of rice mix-PAST with it,6
bobby,0,0,0,0,0,0,0,1,mix,do you want a little bit of rice mix-PAST with it,6
bobby,0,0,0,0,0,0,1,0,eat,eat it quick,0
bobby,0,0,0,0,0,0,1,0,eat,eat it,2
bobby,0,0,0,0,0,0,1,0,let,let-ZERO me that last piece of,8
bobby,0,0,0,0,0,0,0,0,eat,can you eat the other by yourself,5
bobby,0,0,0,0,0,0,1,0,open,open your mouth,8
bobby,0,0,0,0,0,0,0,0,open,you open yours,8
bobby,0,1,1,1,0,0,0,0,think,well I think I~will stew the blueberry-PL now,0
bobby,0,0,0,0,0,0,0,0,stew,well I think I~will stew the blueberry-PL now,0
bobby,0,0,0,0,0,0,0,0,cause,cause the rest be-3S all do-PASTP,8
bobby,0,0,0,0,0,0,1,0,want,who want-3S cheese,8
bobby,0,0,0,0,0,0,0,0,want,do you want any,3
bobby,0,0,0,0,0,0,1,1,have,you can~not have two hand-PL up,2
bobby,0,0,0,0,0,0,1,0,want,you want two piece-PL,9
bobby,0,0,0,0,0,0,0,0,try,well that be-PAST a pretty good try,3
bobby,0,0,0,0,0,0,1,0,want,Jennifer do you want some more pea-PL,3
bobby,0,0,0,0,0,0,0,0,leave,there~be only a tiny bit leave-PAST,6
bobby,0,0,0,0,0,0,1,0,want,do you want them,8
bobby,0,0,0,0,0,0,0,0,leave,that~be all that~be leave-PAST,1
bobby,0,0,0,0,0,0,1,0,want,want them,4
bobby,0,0,0,0,0,0,1,0,want,do you want them,9
bobby,0,0,0,0,0,0,0,0,do,you do-PAST too,5
bobby,0,0,0,0,0,0,0,0,wait,you~will have_to wait,3
bobby,0,0,0,0,0,0,1,0,have,have cook the I,2
bobby,0,0,0,0,0,0,0,0,sit,they can sit here and wait for a minute,3
bobby,0,0,0,0,0,0,0,1,wait,they can sit here and wait for a minute,3
bobby,1,1,1,1,0,0,1,0,tell,maybe you guy-PL can tell me what you do-PAST today while we wait,1
bobby,0,0,0,0,0,0,1,0,do,maybe you guy-PL can tell me what you do-PAST today while we wait,1
bobby,0,0,0,0,0,0,0,0,wait,maybe you guy-PL can tell me what you do-PAST today while we wait,1
bobby,0,0,0,0,0,0,0,0,say,do~not say nothing either,3
bobby,0,0,0,0,0,0,1,0,do,what~genmod you do,3
bobby,0,0,0,0,0,0,0,0,say,do~not say nothing,9
bobby,0,0,0,0,0,0,0,0,go,why do-PAST~not you go swim-PRESP,3
bobby,0,0,0,0,0,0,1,1,do,and what do-PAST she do with it,7
bobby,0,0,0,0,0,0,1,0,do,what do-PAST she do when she sit-PAST in the water,2
bobby,0,0,0,0,0,0,0,1,sit,what do-PAST she do when she sit-PAST in the water,2
bobby,0,1,0,0,1,0,1,0,want,do you want me to teach you too,5
bobby,0,0,0,0,0,0,1,0,teach,do you want me to teach you too,5
bobby,0,0,0,0,0,0,0,0,kick,how to kick,3
bobby,0,0,0,0,0,0,0,0,take,it take-3S quite a few lesson-PL,7
bobby,0,0,0,0,0,0,0,0,take,you have_to take some,3
bobby,0,0,0,0,0,0,0,1,get,before you get to to be a grand swim-dv,9
bobby,0,0,0,0,0,0,1,0,cook,we~be go-PRESP~to cook them so we can put-ZERO them on,4
bobby,0,0,0,0,0,0,1,0,put,we~be go-PRESP~to cook them so we can put-ZERO them on,4
bobby,0,0,0,0,0,0,0,0,put,Jen we~be go-PRESP~to put-ZERO the blueberry-PL on top of the cheese,2
bobby,0,0,0,0,0,0,1,0,want,do you want a couple,0
bobby,0,0,0,0,0,0,0,0,taste,they taste good-CP when they be-PRES cook-PASTP,3
bobby,0,0,0,0,0,0,1,0,eat,eat it,5
bobby,0,0,0,0,0,0,0,1,surprise,I~be real-dadj surprise-PAST at how good they taste,9
bobby,0,0,0,0,0,0,0,0,taste,I~be real-dadj surprise-PAST at how good they taste,9
bobby,0,0,0,0,0,0,1,0,call,what do you call those,1
bobby,0,0,0,0,0,0,0,0,try,try again,4
bobby,0,0,0,0,0,0,1,0,call,so what do they call them,6
bobby,0,0,0,0,0,0,0,0,hand,hand those to Bob,7
bobby,0,0,0,0,0,0,1,1,do,what what do you do after supper,4
bobby,0,1,0,1,0,0,0,0,think,I think Eric want-3S to see you up the street,2
bobby,0,1,0,0,1,0,0,0,want,I think Eric want-3S to see you up the street,2
bobby,0,0,0,0,0,0,1,1,see,I think Eric want-3S to see you up the street,2
bobby,0,0,1,1,0,0,1,0,ask,I be-PAST talk-PRESP today and he ask-PAST me if you be-PAST go-PRESP~to come out after supper,7
bobby,0,0,0,0,0,0,0,1,come,I be-PAST talk-PRESP today and he ask-PAST me if you be-PAST go-PRESP~to come out after supper,7
bobby,0,0,0,0,0,0,0,0,go,yesterday that~be when you go-PAST,8
